Oferta od	marka_pojazdu	model_pojazdu	rok_produkcji	przebieg	pojemnosc_skokowa	rodzaj_paliwa	moc	skrzynia_biegow	liczba_drzwi	kolor	rodzaj_koloru	kraj_pochodzenia	data_pierwszej_rejestracji_w_historii_pojazdu	zarejestrowany_w_polsce	stan	tytul	url	cena
Prywatne	MINI	Cooper	2011.0	78500.0	15983.0	Benzyna	122.0	Manualna	3.0	Pomarańczowy	Metalik	Włochy	06 grudzień 2011	Tak	Używane	MINI Cooper	https://www.otomoto.pl/osobowe/oferta/mini-cooper-coupe-bardzo-dobry-stan-niski-przebieg-ID6FNdTx.html	37900.0
Firma	MINI	ONE	2011.0	96000.0	15983.0	Benzyna	90.0	Manualna	3.0	Czarny	-1	-1	-1	-1	Używane	MINI ONE	https://www.otomoto.pl/osobowe/oferta/mini-one-1-6-benzyna-96tys-km-przebiegu-fv-vat-23-ID6FRZFx.html	24800.0
Prywatne	MINI	Clubman	2013.0	97775.0	15983.0	Benzyna	98.0	Manualna	5.0	Beżowy	-1	-1	26 grudzień 2013	Tak	Używane	MINI Clubman	https://www.otomoto.pl/osobowe/oferta/mini-clubman-mini-clubman-one-ID6FNaw3.html	32900.0
Prywatne	MINI	Countryman	2013.0	99779.0	15983.0	Benzyna	184.0	Automatyczna	5.0	Czerwony	-1	-1	11 kwiecień 2013	Tak	Używane	MINI Countryman Cooper S	https://www.otomoto.pl/osobowe/oferta/mini-countryman-ID6FAXnH.html	40000.0
Prywatne	MINI	ONE	2014.0	82000.0	11983.0	Benzyna	102.0	Manualna	3.0	Zielony	Metalik	Francja	-1	Tak	Używane	MINI ONE Standard	https://www.otomoto.pl/osobowe/oferta/mini-one-mini-one-niski-przebieg-ID6FTt0b.html	36900.0
Prywatne	MINI	Countryman	2011.0	82500.0	15983.0	Benzyna	122.0	Automatyczna	5.0	Granatowy	-1	-1	-1	-1	Używane	MINI Countryman Cooper	https://www.otomoto.pl/osobowe/oferta/mini-countryman-stan-bardzo-dobry-niski-przebieg-ID6FOr5i.html	37500.0
Firma	MINI	ONE	2010.0	75000.0	15983.0	Diesel	90.0	Manualna	3.0	Zielony	Metalik	Belgia	31 sierpień 2010	-1	Używane	MINI ONE	https://www.otomoto.pl/osobowe/oferta/mini-one-1-6d-klimatronik-alu-niski-przebieg-gwarancja-ID6FPNI2.html	25900.0
Prywatne	MINI	Cooper	2008.0	99850.0	15603.0	Diesel	110.0	Manualna	3.0	Czarny	-1	-1	09 kwiecień 2008	-1	Używane	MINI Cooper D	https://www.otomoto.pl/osobowe/oferta/mini-cooper-bardzo-dobry-samachod-ID6FRD9M.html	18500.0
Prywatne	MINI	ONE	2012.0	85400.0	15983.0	Benzyna	75.0	Manualna	3.0	Czerwony	Metalik	Polska	09 październik 2012	Tak	Używane	MINI ONE Standard	https://www.otomoto.pl/osobowe/oferta/mini-one-mini-one-2012-85kkm-przebiegu-krajowy-ID6FWnnM.html	25000.0
Prywatne	MINI	Cooper	2010.0	61000.0	15983.0	Benzyna	122.0	Automatyczna	3.0	Żółty	Matowy	-1	styczeń 2010	Tak	Używane	MINI Cooper	https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-bogata-wersja-maly-przebieg-ID6FWlBG.html	29000.0
Prywatne	MINI	Cooper S	2011.0	94900.0	15983.0	Benzyna	184.0	Manualna	2.0	Szary	-1	Szwajcaria	-1	Tak	Używane	MINI Cooper S Standard	https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-r56-jcw-pakiet-stylistyczny-184km-przebieg-95000-km-ID6FR3ek.html	37900.0
Firma	MINI	ONE	2013.0	87000.0	15983.0	Benzyna	75.0	Manualna	3.0	Czerwony	-1	-1	10 czerwiec 2013	-1	Używane	MINI ONE	https://www.otomoto.pl/osobowe/oferta/mini-one-gwarancja-techniczna-ID6FHPSZ.html	32900.0
Prywatne	MINI	Cooper	2013.0	74156.0	15983.0	Benzyna	122.0	Manualna	3.0	Niebieski	Metalik	Wielka Brytania	luty 2013	Tak	Używane	MINI Cooper	https://www.otomoto.pl/osobowe/oferta/mini-cooper-1-6-122km-coupe-r58-stan-dobry-niski-przebieg-ID6Fn2Op.html	33900.0
Prywatne	MINI	Cooper S	2007.0	95854.0	15983.0	Benzyna	175.0	Manualna	3.0	Zielony	Metalik	Szwecja	11 lipiec 2007	Tak	Używane	MINI Cooper S	https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-tuning-210-km-sportowa-stylizacja-kola-zimowe-w-cenie-ID6FC2br.html	23900.0
Prywatne	MINI	ONE	2013.0	90000.0	15983.0	Benzyna	98.0	Manualna	3.0	Czarny	-1	-1	10 październik 2013	-1	Używane	MINI ONE	https://www.otomoto.pl/osobowe/oferta/mini-one-rok-2013-90-tys-km-z-niemiec-oplacony-ID6FWge7.html	25500.0
Prywatne	MINI	Cooper S	2008.0	93900.0	15983.0	Benzyna	175.0	Manualna	3.0	Beżowy	-1	Polska	15 styczeń 2009	Tak	Używane	MINI Cooper S Standard	https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-mini-cooper-s-r56-bezwypadkowy-ID6FT0MP.html	32999.0
Firma	MINI	ONE	2013.0	100000.0	15983.0	Benzyna	98.0	Manualna	3.0	Czarny	Metalik	-1	-1	-1	Używane	MINI ONE Brick Lane	https://www.otomoto.pl/osobowe/oferta/mini-one-mini-one-cooper-1-6-benzyna-100tys-km-bezwypadkowy-po-serwisie-ID6FwDq6.html	29900.0
Prywatne	MINI	Cooper S	2003.0	75500.0	15983.0	Benzyna	163.0	Manualna	3.0	Czerwony	-1	-1	17 luty 2003	Tak	Używane	MINI Cooper S chili	https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-mini-cooper-s-r53-ID6FQCev.html	23900.0
Prywatne	MINI	Cooper S	2008.0	59894.0	15983.0	Benzyna	184.0	Manualna	3.0	Beżowy	-1	-1	-1	-1	Używane	MINI Cooper S Standard	https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-mini-cooper-s-ID6FxhXD.html	35000.0
Prywatne	MINI	ONE	2013.0	55000.0	15983.0	Diesel	90.0	Manualna	3.0	Biały	-1	Niemcy	-1	Tak	Używane	MINI ONE D	https://www.otomoto.pl/osobowe/oferta/mini-one-mini-morris-one-ID6FPBpE.html	27700.0
Firma	MINI	ONE	2013.0	83000.0	15983.0	Benzyna	75.0	Manualna	3.0	Czarny	-1	-1	-1	-1	Używane	MINI ONE Standard	https://www.otomoto.pl/osobowe/oferta/mini-one-mini-one-2013-1-6b-ID6FPMvn.html	23000.0
Prywatne	MINI	Cooper S	2013.0	1111.0	15983.0	Benzyna	183.0	Automatyczna	2.0	Inny kolor	-1	-1	05 maj 2013	-1	Używane	MINI Cooper S Cabrio	https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-mini-cabrio-s-1-6-183-km-ID6FTjK0.html	19999.0
Prywatne	MINI	Cooper	2008.0	79519.0	15983.0	Benzyna	120.0	Automatyczna	3.0	Beżowy	-1	Polska	-1	Tak	Używane	MINI Cooper	https://www.otomoto.pl/osobowe/oferta/mini-cooper-salon-polska-bezwypadkowy-oryginalny-niski-przebieg-automat-ID6FFyOy.html	35900.0
Firma	MINI	Countryman	2012.0	12900.0	15983.0	Diesel	112.0	Manualna	5.0	Brązowy	-1	-1	-1	-1	Używane	MINI Countryman	https://www.otomoto.pl/osobowe/oferta/mini-countryman-1-6-d-4x4-ID6FPuNt.html	40000.0
Prywatne	MINI	Cooper	2011.0	93115.0	15983.0	Benzyna	122.0	Manualna	3.0	Czarny	-1	Polska	06 październik 2011	Tak	Używane	MINI Cooper	https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-2011r-przebieg-93tys-ID6FRwbl.html	32000.0
Firma	MINI	ONE	2013.0	88000.0	15983.0	Benzyna	98.0	Manualna	3.0	Biały	Metalik	-1	21 styczeń 2014	-1	Używane	MINI ONE Baker Street	https://www.otomoto.pl/osobowe/oferta/mini-one-1-6benzyna98kmniski-przebiegladne-wnetrzeauto-z-niemiecfaktura-ID6FUXsi.html	12400.0
Firma	MINI	Cooper	2012.0	75200.0	15983.0	Benzyna	122.0	Manualna	2.0	Srebrny	-1	Francja	-1	-1	Używane	MINI Cooper Coupe	https://www.otomoto.pl/osobowe/oferta/mini-cooper-2012-r-1-6-benzyna-coupe-75-przebiegu-raty-ID6FMjnX.html	27900.0
Prywatne	MINI	Cooper S	2009.0	100000.0	15983.0	Benzyna	175.0	Manualna	3.0	Czerwony	-1	Niemcy	12 grudzień 2009	-1	Używane	MINI Cooper S	https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-1-6turbo-maly-ale-wariat-niski-przebieg-bezwypadkowy-ID6FAUt1.html	28905.0
Prywatne	MINI	Cooper	2009.0	96600.0	15983.0	Benzyna	115.0	Manualna	2.0	Granatowy	-1	-1	-1	-1	Używane	MINI Cooper	https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-cabrio-2009-ID6FlzLx.html	19950.0
Prywatne	MINI	ONE	2007.0	97500.0	13973.0	Benzyna	95.0	Manualna	3.0	Niebieski	Metalik	-1	11 grudzień 2007	Tak	Używane	MINI ONE Standard	https://www.otomoto.pl/osobowe/oferta/mini-one-mini-one-1-4-benzyna-2007-97-000-km-ID6FPsPp.html	16900.0
Firma	MINI	Cooper	2014.0	96545.0	15983.0	Benzyna	122.0	Automatyczna	2.0	Pomarańczowy	Metalik	-1	styczeń 2014	Tak	Używane	MINI Cooper	https://www.otomoto.pl/osobowe/oferta/mini-cooper-13065-mini-cooper-cabrio-niski-przebieg-automat-skora-tapicerka-ID6FGkhR.html	36272.0
Prywatne	MINI	ONE	2015.0	93000.0	11983.0	Benzyna	102.0	Manualna	3.0	Beżowy	Metalik	-1	10 październik 2015	-1	Używane	MINI ONE Blackyard	https://www.otomoto.pl/osobowe/oferta/mini-one-1-2benzyna-102km-zadbany-bezwypadkowy-serwisowany-bez-wkladu-ID6FRq9c.html	39500.0
Prywatne	MINI	ONE	2007.0	94365.0	15983.0	Benzyna	90.0	Manualna	3.0	Czerwony	-1	Niemcy	27 sierpień 2020	Tak	Używane	MINI ONE Standard	https://www.otomoto.pl/osobowe/oferta/mini-one-maly-przebieg-wersja-seven-ID6FNc6F.html	19990.0
Firma	MINI	Countryman	2014.0	83031.0	15983.0	Diesel	112.0	Manualna	5.0	Biały	-1	Francja	-1	-1	Używane	MINI Countryman Cooper D Park Lane Chili	https://www.otomoto.pl/osobowe/oferta/mini-countryman-ID6FSCp9.html	38900.0
Prywatne	MINI	Cooper	2014.0	99271.0	14993.0	Benzyna	136.0	Manualna	3.0	Czerwony	-1	-1	kwiecień 2018	-1	Używane	MINI Cooper	https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-2014-czerwony-1-5-f56-ID6FSBng.html	39999.0
Prywatne	MINI	ONE	2009.0	98400.0	13973.0	Benzyna	95.0	Manualna	3.0	Beżowy	-1	-1	07 lipiec 2009	-1	Używane	MINI ONE Standard	https://www.otomoto.pl/osobowe/oferta/mini-one-super-stan-maly-przebieg-serwis-ID6FQyWF.html	22500.0
Firma	MINI	ONE	2015.0	69578.0	11983.0	Benzyna	75.0	Manualna	5.0	Inny kolor	-1	-1	-1	Tak	Używane	MINI ONE	https://www.otomoto.pl/osobowe/oferta/mini-one-stan-bardzo-dobry-zarej-w-kraju-bez-wkladu-finansowego-ID6Fxafo.html	38000.0
Prywatne	MINI	Cooper	1993.0	64300.0	12763.0	Benzyna	52.0	Manualna	2.0	Czarny	-1	-1	-1	-1	Używane	MINI Cooper	https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-silverstone-ID6FP0qv.html	40000.0
Prywatne	MINI	ONE	2014.0	98500.0	14963.0	Diesel	95.0	Manualna	3.0	Czarny	Metalik	-1	-1	Tak	Używane	MINI ONE D	https://www.otomoto.pl/osobowe/oferta/mini-one-bardzo-dobrze-utrzymany-funkcjonalny-i-oszczedny-ID6FU5GJ.html	39900.0
Prywatne	MINI	Cooper S	2008.0	65200.0	15983.0	Benzyna	175.0	Automatyczna	3.0	Złoty	Metalik	-1	07 styczeń 2008	-1	Używane	MINI Cooper S	https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-cooper-s-automat-skora-przebieg-65000km-ID6FBa5B.html	36000.0
Prywatne	MINI	Cooper S	2010.0	92150.0	15983.0	Benzyna	184.0	Manualna	3.0	Niebieski	Metalik	Polska	18 marzec 2011	Tak	Używane	MINI Cooper S Standard	https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-mini-cooper-s-salon-polska-xsenon-92tys-184km-ID6FU3WG.html	39900.0
Firma	MINI	Clubman	2013.0	93401.0	15983.0	Benzyna	184.0	Manualna	4.0	Biały	Metalik	Szwajcaria	-1	-1	Używane	MINI Clubman Cooper S	https://www.otomoto.pl/osobowe/oferta/mini-clubman-cooper-s-ID6FNdLX.html	37500.0
Prywatne	MINI	Cooper	2013.0	70000.0	15983.0	Benzyna	122.0	Manualna	2.0	Czarny	-1	-1	-1	-1	Używane	MINI Cooper Standard	https://www.otomoto.pl/osobowe/oferta/mini-cooper-2013-mini-cooper-roadster-r59-ID6FJYmp.html	39500.0
Prywatne	MINI	Cooper S	2007.0	45000.0	15983.0	Benzyna	170.0	Manualna	3.0	Beżowy	-1	-1	-1	-1	Używane	MINI Cooper S Standard	https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-cooper-s-45tys-km-ID6FTm1Y.html	35500.0
