|model_pojazdu|rok_produkcji|przebieg|pojemnosc_skokowa|rodzaj_paliwa|moc|skrzynia_biegow|liczba_drzwi|kolor|rodzaj_koloru|kraj_pochodzenia|data_pierwszej_rejestracji_w_historii_pojazdu|zarejestrowany_w_polsce|stan|tytul|url|cena
0|Cooper|2011|78500|15983|Benzyna|122|Manualna|3|Pomaranczowy|Metalik|Wlochy|06 grudzien 2011|Tak|Uzywane|MINI Cooper|https://www.otomoto.pl/osobowe/oferta/mini-cooper-coupe-bardzo-dobry-stan-niski-przebieg-ID6FNdTx.html|37900
1|ONE|2011|96000|15983|Benzyna|90|Manualna|3|Czarny|nan|nan|nan|nan|Uzywane|MINI ONE|https://www.otomoto.pl/osobowe/oferta/mini-one-1-6-benzyna-96tys-km-przebiegu-fv-vat-23-ID6FRZFx.html|24800
2|Clubman|2013|97775|15983|Benzyna|98|Manualna|5|Bezowy|nan|nan|26 grudzien 2013|Tak|Uzywane|MINI Clubman|https://www.otomoto.pl/osobowe/oferta/mini-clubman-mini-clubman-one-ID6FNaw3.html|32900
3|Countryman|2013|99779|15983|Benzyna|184|Automatyczna|5|Czerwony|nan|nan|11 kwiecien 2013|Tak|Uzywane|MINI Countryman Cooper S|https://www.otomoto.pl/osobowe/oferta/mini-countryman-ID6FAXnH.html|40000
4|ONE|2014|82000|11983|Benzyna|102|Manualna|3|Zielony|Metalik|Francja|nan|Tak|Uzywane|MINI ONE Standard|https://www.otomoto.pl/osobowe/oferta/mini-one-mini-one-niski-przebieg-ID6FTt0b.html|36900
5|Countryman|2011|82500|15983|Benzyna|122|Automatyczna|5|Granatowy|nan|nan|nan|nan|Uzywane|MINI Countryman Cooper|https://www.otomoto.pl/osobowe/oferta/mini-countryman-stan-bardzo-dobry-niski-przebieg-ID6FOr5i.html|37500
6|ONE|2010|75000|15983|Diesel|90|Manualna|3|Zielony|Metalik|Belgia|31 sierpien 2010|nan|Uzywane|MINI ONE|https://www.otomoto.pl/osobowe/oferta/mini-one-1-6d-klimatronik-alu-niski-przebieg-gwarancja-ID6FPNI2.html|25900
7|Cooper|2008|99850|15603|Diesel|110|Manualna|3|Czarny|nan|nan|09 kwiecien 2008|nan|Uzywane|MINI Cooper D|https://www.otomoto.pl/osobowe/oferta/mini-cooper-bardzo-dobry-samachod-ID6FRD9M.html|18500
8|ONE|2012|85400|15983|Benzyna|75|Manualna|3|Czerwony|Metalik|Polska|09 pazdziernik 2012|Tak|Uzywane|MINI ONE Standard|https://www.otomoto.pl/osobowe/oferta/mini-one-mini-one-2012-85kkm-przebiegu-krajowy-ID6FWnnM.html|25000
9|Cooper|2010|61000|15983|Benzyna|122|Automatyczna|3|Zolty|Matowy|nan|styczen 2010|Tak|Uzywane|MINI Cooper|https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-bogata-wersja-maly-przebieg-ID6FWlBG.html|29000
10|Cooper S|2011|94900|15983|Benzyna|184|Manualna|2|Szary|nan|Szwajcaria|nan|Tak|Uzywane|MINI Cooper S Standard|https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-r56-jcw-pakiet-stylistyczny-184km-przebieg-95000-km-ID6FR3ek.html|37900
11|ONE|2013|87000|15983|Benzyna|75|Manualna|3|Czerwony|nan|nan|10 czerwiec 2013|nan|Uzywane|MINI ONE|https://www.otomoto.pl/osobowe/oferta/mini-one-gwarancja-techniczna-ID6FHPSZ.html|32900
12|Cooper|2013|74156|15983|Benzyna|122|Manualna|3|Niebieski|Metalik|Wielka Brytania|luty 2013|Tak|Uzywane|MINI Cooper|https://www.otomoto.pl/osobowe/oferta/mini-cooper-1-6-122km-coupe-r58-stan-dobry-niski-przebieg-ID6Fn2Op.html|33900
13|Cooper S|2007|95854|15983|Benzyna|175|Manualna|3|Zielony|Metalik|Szwecja|11 lipiec 2007|Tak|Uzywane|MINI Cooper S|https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-tuning-210-km-sportowa-stylizacja-kola-zimowe-w-cenie-ID6FC2br.html|23900
14|ONE|2013|90000|15983|Benzyna|98|Manualna|3|Czarny|nan|nan|10 pazdziernik 2013|nan|Uzywane|MINI ONE|https://www.otomoto.pl/osobowe/oferta/mini-one-rok-2013-90-tys-km-z-niemiec-oplacony-ID6FWge7.html|25500
15|Cooper S|2008|93900|15983|Benzyna|175|Manualna|3|Bezowy|nan|Polska|15 styczen 2009|Tak|Uzywane|MINI Cooper S Standard|https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-mini-cooper-s-r56-bezwypadkowy-ID6FT0MP.html|32999
16|ONE|2013|100000|15983|Benzyna|98|Manualna|3|Czarny|Metalik|nan|nan|nan|Uzywane|MINI ONE Brick Lane|https://www.otomoto.pl/osobowe/oferta/mini-one-mini-one-cooper-1-6-benzyna-100tys-km-bezwypadkowy-po-serwisie-ID6FwDq6.html|29900
17|Cooper S|2003|75500|15983|Benzyna|163|Manualna|3|Czerwony|nan|nan|17 luty 2003|Tak|Uzywane|MINI Cooper S chili|https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-mini-cooper-s-r53-ID6FQCev.html|23900
18|Cooper S|2008|59894|15983|Benzyna|184|Manualna|3|Bezowy|nan|nan|nan|nan|Uzywane|MINI Cooper S Standard|https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-mini-cooper-s-ID6FxhXD.html|35000
19|ONE|2013|55000|15983|Diesel|90|Manualna|3|Bialy|nan|Niemcy|nan|Tak|Uzywane|MINI ONE D|https://www.otomoto.pl/osobowe/oferta/mini-one-mini-morris-one-ID6FPBpE.html|27700
20|ONE|2013|83000|15983|Benzyna|75|Manualna|3|Czarny|nan|nan|nan|nan|Uzywane|MINI ONE Standard|https://www.otomoto.pl/osobowe/oferta/mini-one-mini-one-2013-1-6b-ID6FPMvn.html|23000
21|Cooper S|2013|1111|15983|Benzyna|183|Automatyczna|2|Inny kolor|nan|nan|05 maj 2013|nan|Uzywane|MINI Cooper S Cabrio|https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-mini-cabrio-s-1-6-183-km-ID6FTjK0.html|19999
22|Cooper|2008|79519|15983|Benzyna|120|Automatyczna|3|Bezowy|nan|Polska|nan|Tak|Uzywane|MINI Cooper|https://www.otomoto.pl/osobowe/oferta/mini-cooper-salon-polska-bezwypadkowy-oryginalny-niski-przebieg-automat-ID6FFyOy.html|35900
23|Countryman|2012|12900|15983|Diesel|112|Manualna|5|Brazowy|nan|nan|nan|nan|Uzywane|MINI Countryman|https://www.otomoto.pl/osobowe/oferta/mini-countryman-1-6-d-4x4-ID6FPuNt.html|40000
24|Cooper|2011|93115|15983|Benzyna|122|Manualna|3|Czarny|nan|Polska|06 pazdziernik 2011|Tak|Uzywane|MINI Cooper|https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-2011r-przebieg-93tys-ID6FRwbl.html|32000
25|ONE|2013|88000|15983|Benzyna|98|Manualna|3|Bialy|Metalik|nan|21 styczen 2014|nan|Uzywane|MINI ONE Baker Street|https://www.otomoto.pl/osobowe/oferta/mini-one-1-6benzyna98kmniski-przebiegladne-wnetrzeauto-z-niemiecfaktura-ID6FUXsi.html|12400
26|Cooper|2012|75200|15983|Benzyna|122|Manualna|2|Srebrny|nan|Francja|nan|nan|Uzywane|MINI Cooper Coupe|https://www.otomoto.pl/osobowe/oferta/mini-cooper-2012-r-1-6-benzyna-coupe-75-przebiegu-raty-ID6FMjnX.html|27900
27|Cooper S|2009|100000|15983|Benzyna|175|Manualna|3|Czerwony|nan|Niemcy|12 grudzien 2009|nan|Uzywane|MINI Cooper S|https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-1-6turbo-maly-ale-wariat-niski-przebieg-bezwypadkowy-ID6FAUt1.html|28905
28|Cooper|2009|96600|15983|Benzyna|115|Manualna|2|Granatowy|nan|nan|nan|nan|Uzywane|MINI Cooper|https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-cabrio-2009-ID6FlzLx.html|19950
29|ONE|2007|97500|13973|Benzyna|95|Manualna|3|Niebieski|Metalik|nan|11 grudzien 2007|Tak|Uzywane|MINI ONE Standard|https://www.otomoto.pl/osobowe/oferta/mini-one-mini-one-1-4-benzyna-2007-97-000-km-ID6FPsPp.html|16900
30|Cooper|2014|96545|15983|Benzyna|122|Automatyczna|2|Pomaranczowy|Metalik|nan|styczen 2014|Tak|Uzywane|MINI Cooper|https://www.otomoto.pl/osobowe/oferta/mini-cooper-13065-mini-cooper-cabrio-niski-przebieg-automat-skora-tapicerka-ID6FGkhR.html|36272
31|ONE|2015|93000|11983|Benzyna|102|Manualna|3|Bezowy|Metalik|nan|10 pazdziernik 2015|nan|Uzywane|MINI ONE Blackyard|https://www.otomoto.pl/osobowe/oferta/mini-one-1-2benzyna-102km-zadbany-bezwypadkowy-serwisowany-bez-wkladu-ID6FRq9c.html|39500
32|ONE|2007|94365|15983|Benzyna|90|Manualna|3|Czerwony|nan|Niemcy|27 sierpien 2020|Tak|Uzywane|MINI ONE Standard|https://www.otomoto.pl/osobowe/oferta/mini-one-maly-przebieg-wersja-seven-ID6FNc6F.html|19990
33|Countryman|2014|83031|15983|Diesel|112|Manualna|5|Bialy|nan|Francja|nan|nan|Uzywane|MINI Countryman Cooper D Park Lane Chili|https://www.otomoto.pl/osobowe/oferta/mini-countryman-ID6FSCp9.html|38900
34|Cooper|2014|99271|14993|Benzyna|136|Manualna|3|Czerwony|nan|nan|kwiecien 2018|nan|Uzywane|MINI Cooper|https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-2014-czerwony-1-5-f56-ID6FSBng.html|39999
35|ONE|2009|98400|13973|Benzyna|95|Manualna|3|Bezowy|nan|nan|07 lipiec 2009|nan|Uzywane|MINI ONE Standard|https://www.otomoto.pl/osobowe/oferta/mini-one-super-stan-maly-przebieg-serwis-ID6FQyWF.html|22500
36|ONE|2015|69578|11983|Benzyna|75|Manualna|5|Inny kolor|nan|nan|nan|Tak|Uzywane|MINI ONE|https://www.otomoto.pl/osobowe/oferta/mini-one-stan-bardzo-dobry-zarej-w-kraju-bez-wkladu-finansowego-ID6Fxafo.html|38000
37|Cooper|1993|64300|12763|Benzyna|52|Manualna|2|Czarny|nan|nan|nan|nan|Uzywane|MINI Cooper|https://www.otomoto.pl/osobowe/oferta/mini-cooper-mini-cooper-silverstone-ID6FP0qv.html|40000
38|ONE|2014|98500|14963|Diesel|95|Manualna|3|Czarny|Metalik|nan|nan|Tak|Uzywane|MINI ONE D|https://www.otomoto.pl/osobowe/oferta/mini-one-bardzo-dobrze-utrzymany-funkcjonalny-i-oszczedny-ID6FU5GJ.html|39900
39|Cooper S|2008|65200|15983|Benzyna|175|Automatyczna|3|Zloty|Metalik|nan|07 styczen 2008|nan|Uzywane|MINI Cooper S|https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-cooper-s-automat-skora-przebieg-65000km-ID6FBa5B.html|36000
40|Cooper S|2010|92150|15983|Benzyna|184|Manualna|3|Niebieski|Metalik|Polska|18 marzec 2011|Tak|Uzywane|MINI Cooper S Standard|https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-mini-cooper-s-salon-polska-xsenon-92tys-184km-ID6FU3WG.html|39900
41|Clubman|2013|93401|15983|Benzyna|184|Manualna|4|Bialy|Metalik|Szwajcaria|nan|nan|Uzywane|MINI Clubman Cooper S|https://www.otomoto.pl/osobowe/oferta/mini-clubman-cooper-s-ID6FNdLX.html|37500
42|Cooper|2013|70000|15983|Benzyna|122|Manualna|2|Czarny|nan|nan|nan|nan|Uzywane|MINI Cooper Standard|https://www.otomoto.pl/osobowe/oferta/mini-cooper-2013-mini-cooper-roadster-r59-ID6FJYmp.html|39500
43|Cooper S|2007|45000|15983|Benzyna|170|Manualna|3|Bezowy|nan|nan|nan|nan|Uzywane|MINI Cooper S Standard|https://www.otomoto.pl/osobowe/oferta/mini-cooper-s-cooper-s-45tys-km-ID6FTm1Y.html|35500
